id,date,restaurant_id,*,**,***
67865,2015-06-17,WeEeRe3a,0.0,0.0,0.0
57758,2015-06-17,6VOpDlOL,0.0,0.0,0.0
26978,2015-06-17,1JEbKN3R,0.0,0.0,0.0
57446,2015-06-17,rJoQ0a3V,0.0,0.0,0.0
35632,2015-06-17,JGoNP6EL,0.0,0.0,0.0
25829,2015-06-17,dj3djjO9,0.0,0.0,0.0
1334,2015-06-17,6Wo28wE9,0.0,0.0,0.0
907,2015-06-17,NbE1jm3J,0.0,0.0,0.0
67297,2015-06-17,we39KlOk,0.0,0.0,0.0
55564,2015-06-17,1m3M0bEB,0.0,0.0,0.0
72950,2015-06-17,N6OkNgox,0.0,0.0,0.0
65449,2015-06-17,8KoAwzE6,0.0,0.0,0.0
52919,2015-06-17,ydEjp9oW,0.0,0.0,0.0
70681,2015-06-17,xWoYjgOK,0.0,0.0,0.0
42432,2015-06-17,6K3l5voz,0.0,0.0,0.0
7866,2015-06-17,NbE1AyEJ,0.0,0.0,0.0
10431,2015-06-17,p038YGom,0.0,0.0,0.0
9151,2015-06-17,nkOvwXEB,0.0,0.0,0.0
52727,2015-06-17,0ZEDXGED,0.0,0.0,0.0
41298,2015-06-17,JGoNZYoL,0.0,0.0,0.0
22419,2015-06-17,qN3gYnOA,0.0,0.0,0.0
51899,2015-06-17,JGoN9b3L,0.0,0.0,0.0
34653,2015-06-17,ekE49L32,0.0,0.0,0.0
33112,2015-06-17,NbE12N3J,0.0,0.0,0.0
56749,2015-06-17,VpoGddOr,0.0,0.0,0.0
9384,2015-06-17,dj3dR5O9,0.0,0.0,0.0
53909,2015-06-17,1m3MVYoB,0.0,0.0,0.0
17457,2015-06-17,JGoNjgoL,0.0,0.0,0.0
69297,2015-06-17,8x3z7Rok,0.0,0.0,0.0
1422,2015-06-17,geEV7v3z,0.0,0.0,0.0
21329,2015-06-17,we39LrEk,0.0,0.0,0.0
25352,2015-06-17,6Wo2vGo9,0.0,0.0,0.0
44735,2015-06-17,N6OkxvEx,0.0,0.0,0.0
64280,2015-06-17,NbE18OJ2,0.0,0.0,0.0
56199,2015-06-17,V430nyOB,0.0,0.0,0.0
31533,2015-06-17,N6OkzKox,0.0,0.0,0.0
72336,2015-06-17,N6OkgKOx,0.0,0.0,0.0
15249,2015-06-17,nkOvKLEB,0.0,0.0,0.0
54235,2015-06-17,6Wo2W8O9,0.0,0.0,0.0
35901,2015-06-17,B1oXl1oV,0.0,0.0,0.0
5278,2015-06-17,ekE4L0E2,0.0,0.0,0.0
22429,2015-06-17,lnOR16oN,0.0,0.0,0.0
27368,2015-06-17,0j3LNaOr,0.0,0.0,0.0
68763,2015-06-17,8x3z47Ok,0.0,0.0,0.0
5733,2015-06-17,N6OkkGOx,0.0,0.0,0.0
43789,2015-06-17,we39W0Ok,0.0,0.0,0.0
61628,2015-06-17,xWoYlA3K,0.0,0.0,0.0
38087,2015-06-17,6K3lygoz,0.0,0.0,0.0
52804,2015-06-17,WwOaRzEB,0.0,0.0,0.0
56360,2015-06-17,8gOqaeO2,0.0,0.0,0.0
17049,2015-06-17,xWoYNjOK,0.0,0.0,0.0
25395,2015-06-17,XJ3rXbOR,0.0,0.0,0.0
9690,2015-06-17,dj3d0r39,0.0,0.0,0.0
65878,2015-06-17,0ZEDpRED,0.0,0.0,0.0
25339,2015-06-17,V430YloB,0.0,0.0,0.0
47285,2015-06-17,7RO5jEqb,0.0,0.0,0.0
40769,2015-06-17,we39p5Ek,0.0,0.0,0.0
48692,2015-06-17,N6OkAG3x,0.0,0.0,0.0
29157,2015-06-17,ydEjJeEW,0.0,0.0,0.0
34876,2015-06-17,WeEeKaoa,0.0,0.0,0.0
56521,2015-06-17,8xExj9o0,0.0,0.0,0.0
47780,2015-06-17,ydEja1OW,0.0,0.0,0.0
19371,2015-06-17,8KoAjKO6,0.0,0.0,0.0
56815,2015-06-17,6K3l8q3z,0.0,0.0,0.0
4580,2015-06-17,JGoNK8OL,0.0,0.0,0.0
2239,2015-06-17,B1oXz1EV,0.0,0.0,0.0
25527,2015-06-17,Pk3wG93d,0.0,0.0,0.0
7658,2015-06-17,we39MR3k,0.0,0.0,0.0
35228,2015-06-17,xWoYPr3K,0.0,0.0,0.0
54074,2015-06-17,8gOqynO2,0.0,0.0,0.0
15707,2015-06-17,qN3gNgEA,0.0,0.0,0.0
4942,2015-06-17,geEVaVOz,0.0,0.0,0.0
56112,2015-06-17,NbE1zP3J,0.0,0.0,0.0
46956,2015-06-17,XJ3r2Q3R,0.0,0.0,0.0
63957,2015-06-17,rNo64LE6,0.0,0.0,0.0
46310,2015-06-17,8x3zq2Ek,0.0,0.0,0.0
71800,2015-06-17,NbE17moJ,0.0,0.0,0.0
17061,2015-06-17,NbE1lzOJ,0.0,0.0,0.0
